cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
0,0,2012-10-29,0,0,0,0,0.0,0.0
5,0,2012-11-05,0,2,0,0,0.5,1.0
0,0,2012-11-12,0,0,0,0,0.0,0.0
0,0,2012-11-19,0,0,0,0,0.0,0.0
0,0,2012-11-26,0,0,0,0,0.0,0.0
0,0,2012-12-03,0,0,0,0,0.0,0.0
0,0,2012-12-10,0,0,0,0,0.0,0.0
0,0,2012-12-17,0,0,0,0,0.0,0.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
0,0,2012-12-31,0,0,0,0,0.0,0.0
0,0,2013-01-07,0,0,0,0,0.0,0.0
0,0,2013-01-14,0,0,0,0,0.0,0.0
0,0,2013-01-21,0,0,0,0,0.0,0.0
0,0,2013-01-28,0,0,0,0,0.0,0.0
0,0,2013-02-04,0,0,0,0,0.0,0.0
0,0,2013-02-11,0,0,0,0,0.0,0.0
0,0,2013-02-18,0,0,0,0,0.0,0.0
0,0,2013-02-25,0,0,0,0,0.0,0.0
0,0,2013-03-04,0,0,0,0,0.0,0.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
0,0,2013-03-18,0,0,0,0,0.0,0.0
0,0,2013-03-25,0,0,0,0,0.0,0.0
0,0,2013-04-01,0,0,0,0,0.0,0.0
0,0,2013-04-08,0,0,0,0,0.0,0.0
0,0,2013-04-15,0,0,0,0,0.0,0.0
15,6,2013-04-22,1,4,0,1,0.95,0.75
16,0,2013-04-29,0,4,0,0,1.0,1.0
12,4,2013-05-06,0,4,0,2,1.0,1.0
2,1,2013-05-13,0,1,0,0,1.0,1.0
7,3,2013-05-20,0,1,0,0,0.83,1.0
0,0,2013-05-27,0,0,0,0,0.0,0.0
6,2,2013-06-03,0,1,0,0,1.0,0.6
0,0,2013-06-10,0,0,0,0,0.0,0.0
9,3,2013-06-17,0,1,0,0,1.0,0.6699999999999999
0,0,2013-06-24,0,0,0,0,0.0,0.0
9,7,2013-07-01,2,1,1,0,0.83,0.6699999999999999
0,0,2013-07-08,0,0,0,0,0.0,0.0
0,0,2013-07-15,0,0,0,0,0.0,0.0
0,0,2013-07-22,0,0,0,0,0.0,0.0
0,0,2013-07-29,0,0,0,0,0.0,0.0
0,0,2013-08-05,0,0,0,0,0.0,0.0
0,0,2013-08-12,0,0,0,0,0.0,0.0
2,0,2013-08-19,0,1,0,0,1.0,1.0
0,0,2013-08-26,0,0,0,0,0.0,0.0
0,0,2013-09-02,0,0,0,0,0.0,0.0
0,0,2013-09-09,0,0,0,0,0.0,0.0
3,2,2013-09-16,0,1,0,0,1.0,1.0
4,4,2013-09-23,0,1,0,0,1.0,1.0
2,0,2013-09-30,0,1,0,0,1.0,1.0
0,0,2013-10-07,0,0,0,0,0.0,0.0
0,0,2013-10-14,0,0,0,0,0.0,0.0
0,0,2013-10-21,0,0,0,0,0.0,0.0
0,0,2013-10-28,0,0,0,0,0.0,0.0
0,0,2013-11-04,0,0,0,0,0.0,0.0
0,0,2013-11-11,0,0,0,0,0.0,0.0
0,0,2013-11-18,0,0,0,0,0.0,0.0
0,0,2013-11-25,0,0,0,0,0.0,0.0
2,0,2013-12-02,0,1,0,0,1.0,1.0
0,0,2013-12-09,0,0,0,0,0.0,0.0
0,0,2013-12-16,0,0,0,0,0.0,0.0
0,0,2013-12-23,0,0,0,0,0.0,0.0
0,0,2013-12-30,0,0,0,0,0.0,0.0
0,0,2014-01-06,0,0,0,0,0.0,0.0
0,0,2014-01-13,0,0,0,0,0.0,0.0
0,0,2014-01-20,0,0,0,0,0.0,0.0
9,4,2014-01-27,4,1,2,2,0.8,0.5
34,42,2014-02-03,15,4,4,11,0.91,0.975
0,0,2014-02-10,0,0,0,0,0.0,0.0
11,4,2014-02-17,0,2,0,4,1.0,1.0
11,1,2014-02-24,0,4,0,1,1.0,0.875
0,0,2014-03-03,0,0,0,0,0.0,0.0
7,3,2014-03-10,3,1,2,1,0.6,0.5
0,0,2014-03-17,0,0,0,0,0.0,0.0
0,0,2014-03-24,0,0,0,0,0.0,0.0
0,0,2014-03-31,0,0,0,0,0.0,0.0
0,0,2014-04-07,0,0,0,0,0.0,0.0
0,0,2014-04-14,0,0,0,0,0.0,0.0
0,0,2014-04-21,0,0,0,0,0.0,0.0
0,0,2014-04-28,0,0,0,0,0.0,0.0
0,0,2014-05-05,0,0,0,0,0.0,0.0
0,0,2014-05-12,0,0,0,0,0.0,0.0
0,0,2014-05-19,0,0,0,0,0.0,0.0
0,0,2014-05-26,0,0,0,0,0.0,0.0
0,0,2014-06-02,0,0,0,0,0.0,0.0
0,0,2014-06-09,0,0,0,0,0.0,0.0
6,4,2014-06-16,0,1,0,0,1.0,0.75
0,0,2014-06-23,0,0,0,0,0.0,0.0
3,1,2014-06-30,0,1,0,0,1.0,0.5
0,0,2014-07-07,0,0,0,0,0.0,0.0
0,0,2014-07-14,0,0,0,0,0.0,0.0
8,5,2014-07-21,0,1,5,0,0.29000000000000004,0.0
0,0,2014-07-28,0,0,0,0,0.0,0.0
2,1,2014-08-04,0,1,1,0,0.0,0.0
0,0,2014-08-11,0,0,0,0,0.0,0.0
10,7,2014-08-18,3,1,2,1,0.71,0.6699999999999999
10,11,2014-08-25,1,1,0,1,1.0,0.75
0,0,2014-09-01,0,0,0,0,0.0,0.0
5,1,2014-09-08,0,2,0,0,0.5,1.0
2,1,2014-09-15,0,1,0,0,1.0,1.0
3,2,2014-09-22,0,1,0,0,1.0,1.0
0,0,2014-09-29,0,0,0,0,0.0,0.0
0,0,2014-10-06,0,0,0,0,0.0,0.0
0,0,2014-10-13,0,0,0,0,0.0,0.0
0,0,2014-10-20,0,0,0,0,0.0,0.0
0,0,2014-10-27,0,0,0,0,0.0,0.0
2,1,2014-11-03,0,1,0,1,1.0,1.0
0,0,2014-11-10,0,0,0,0,0.0,0.0
5,6,2014-11-17,0,1,0,6,1.0,1.0
0,0,2014-11-24,0,0,0,0,0.0,0.0
0,0,2014-12-01,0,0,0,0,0.0,0.0
0,0,2014-12-08,0,0,0,0,0.0,0.0
6,2,2014-12-15,0,2,0,1,0.75,1.0
0,0,2014-12-22,0,0,0,0,0.0,0.0
0,0,2014-12-29,0,0,0,0,0.0,0.0
0,0,2015-01-05,0,0,0,0,0.0,0.0
10,6,2015-01-12,0,3,0,0,1.0,1.0
0,0,2015-01-19,0,0,0,0,0.0,0.0
5,1,2015-01-26,0,1,0,0,1.0,1.0
0,0,2015-02-02,0,0,0,0,0.0,0.0
5,1,2015-02-09,0,2,0,0,1.0,1.0
0,0,2015-02-16,0,0,0,0,0.0,0.0
0,0,2015-02-23,0,0,0,0,0.0,0.0
0,0,2015-03-02,0,0,0,0,0.0,0.0
0,0,2015-03-09,0,0,0,0,0.0,0.0
0,0,2015-03-16,0,0,0,0,0.0,0.0
2,1,2015-03-23,0,1,0,0,1.0,1.0
0,0,2015-03-30,0,0,0,0,0.0,0.0
0,0,2015-04-06,0,0,0,0,0.0,0.0
0,0,2015-04-13,0,0,0,0,0.0,0.0
2,1,2015-04-20,0,1,0,0,1.0,1.0
0,0,2015-04-27,0,0,0,0,0.0,0.0
0,0,2015-05-04,0,0,0,0,0.0,0.0
0,0,2015-05-11,0,0,0,0,0.0,0.0
0,0,2015-05-18,0,0,0,0,0.0,0.0
0,0,2015-05-25,0,0,0,0,0.0,0.0
0,0,2015-06-01,0,0,0,0,0.0,0.0
0,0,2015-06-08,0,0,0,0,0.0,0.0
0,0,2015-06-15,0,0,0,0,0.0,0.0
0,0,2015-06-22,0,0,0,0,0.0,0.0
0,0,2015-06-29,0,0,0,0,0.0,0.0
0,0,2015-07-06,0,0,0,0,0.0,0.0
0,0,2015-07-13,0,0,0,0,0.0,0.0
0,0,2015-07-20,0,0,0,0,0.0,0.0
0,0,2015-07-27,0,0,0,0,0.0,0.0
0,0,2015-08-03,0,0,0,0,0.0,0.0
0,0,2015-08-10,0,0,0,0,0.0,0.0
0,0,2015-08-17,0,0,0,0,0.0,0.0
13,20,2015-08-24,0,1,0,0,1.0,0.6699999999999999
