cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
4,0,2015-02-02,0,1,0,0,1.0,1.0
0,0,2015-02-09,0,0,0,0,0.0,0.0
3,2,2015-02-16,0,1,0,0,1.0,1.0
10,7,2015-02-23,0,3,0,0,1.0,0.6666666666666666
0,0,2015-03-02,0,0,0,0,0.0,0.0
3,2,2015-03-09,0,1,0,0,1.0,1.0
8,4,2015-03-16,0,2,0,0,1.0,1.0
10,2,2015-03-23,2,3,0,0,1.0,0.3333333333333333
11,6,2015-03-30,0,4,0,0,1.0,1.0
7,6,2015-04-06,0,1,0,0,1.0,0.6
9,5,2015-04-13,0,3,0,0,1.0,0.8333333333333334
7,4,2015-04-20,0,3,1,0,0.6666666666666666,0.6666666666666666
5,0,2015-04-27,0,1,0,0,1.0,0.0
0,0,2015-05-04,0,0,0,0,0.0,0.0
4,2,2015-05-11,0,1,0,0,0.6699999999999999,1.0
5,4,2015-05-18,0,1,0,0,1.0,1.0
2,1,2015-05-25,0,1,0,0,1.0,1.0
2,1,2015-06-01,0,1,0,0,1.0,1.0
19,13,2015-06-08,0,7,0,0,1.0,0.8571428571428571
5,6,2015-06-15,0,1,0,0,1.0,1.0
4,3,2015-06-22,0,1,0,0,1.0,1.0
5,3,2015-06-29,0,2,0,0,1.0,1.0
0,0,2015-07-06,0,0,0,0,0.0,0.0
0,0,2015-07-13,0,0,0,0,0.0,0.0
4,2,2015-07-20,0,2,0,0,1.0,1.0
11,14,2015-07-27,0,3,0,0,1.0,1.0
9,9,2015-08-03,0,2,0,0,1.0,1.0
5,3,2015-08-10,0,2,0,0,1.0,1.0
7,2,2015-08-17,0,3,0,0,1.0,0.6666666666666666
18,11,2015-08-24,0,6,0,0,1.0,1.0
52,37,2015-08-31,0,14,0,0,0.9714285714285714,0.9821428571428572
4,1,2015-09-07,0,2,0,0,0.5,1.0
10,5,2015-09-14,0,4,0,0,1.0,1.0
3,2,2015-09-21,0,1,0,0,1.0,1.0
0,0,2015-09-28,0,0,0,0,0.0,0.0
0,0,2015-10-05,0,0,0,0,0.0,0.0
2,1,2015-10-12,0,1,0,0,1.0,1.0
2,1,2015-10-19,0,1,0,0,1.0,1.0
2,1,2015-10-26,0,1,0,0,1.0,1.0
5,3,2015-11-02,0,2,0,0,1.0,1.0
0,0,2015-11-09,0,0,0,0,0.0,0.0
10,4,2015-11-16,0,4,0,1,1.0,0.75
9,6,2015-11-23,0,2,0,0,1.0,1.0
2,1,2015-11-30,0,1,0,0,1.0,1.0
2,1,2015-12-07,0,1,0,0,1.0,1.0
0,0,2015-12-14,0,0,0,0,0.0,0.0
