cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
13,16,2015-11-02,0,2,0,0,0.835,1.0
4,1,2015-11-09,0,2,0,0,1.0,1.0
19,9,2015-11-16,0,6,0,0,0.9166666666666666,1.0
2,1,2015-11-23,0,1,0,0,1.0,1.0
0,0,2015-11-30,0,0,0,0,0.0,0.0
4,2,2015-12-07,0,1,0,0,1.0,1.0
0,0,2015-12-14,0,0,0,0,0.0,0.0
0,0,2015-12-21,0,0,0,0,0.0,0.0
7,12,2015-12-28,0,1,0,0,1.0,1.0
3,2,2016-01-04,0,1,0,0,1.0,1.0
0,0,2016-01-11,0,0,0,0,0.0,0.0
3,0,2016-01-18,0,1,0,0,1.0,1.0
0,0,2016-01-25,0,0,0,0,0.0,0.0
0,0,2016-02-01,0,0,0,0,0.0,0.0
0,0,2016-02-08,0,0,0,0,0.0,0.0
0,0,2016-02-15,0,0,0,0,0.0,0.0
0,0,2016-02-22,0,0,0,0,0.0,0.0
0,0,2016-02-29,0,0,0,0,0.0,0.0
0,0,2016-03-07,0,0,0,0,0.0,0.0
0,0,2016-03-14,0,0,0,0,0.0,0.0
0,0,2016-03-21,0,0,0,0,0.0,0.0
0,0,2016-03-28,0,0,0,0,0.0,0.0
6,4,2016-04-04,0,2,0,0,0.5,1.0
3,2,2016-04-11,0,1,0,0,1.0,1.0
5,3,2016-04-18,0,1,0,0,1.0,1.0
0,0,2016-04-25,0,0,0,0,0.0,0.0
0,0,2016-05-02,0,0,0,0,0.0,0.0
0,0,2016-05-09,0,0,0,0,0.0,0.0
0,0,2016-05-16,0,0,0,0,0.0,0.0
4,0,2016-05-23,1,1,0,0,0.6699999999999999,1.0
