cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
30,38,2017-11-06,11,2,2,2,0.875,0.5549999999999999
2,1,2017-11-13,0,1,0,0,1.0,1.0
12,4,2017-11-20,0,3,0,0,1.0,0.6666666666666666
7,0,2017-11-27,0,2,0,0,1.0,1.0
2,0,2017-12-04,0,1,0,0,1.0,1.0
3,0,2017-12-11,0,1,0,0,0.0,1.0
0,0,2017-12-18,0,0,0,0,0.0,0.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
0,0,2018-01-01,0,0,0,0,0.0,0.0
0,0,2018-01-08,0,0,0,0,0.0,0.0
2,0,2018-01-15,0,1,0,0,1.0,1.0
4,3,2018-01-22,0,1,0,0,1.0,1.0
0,0,2018-01-29,0,0,0,0,0.0,0.0
2,0,2018-02-05,0,1,0,0,1.0,1.0
10,3,2018-02-12,0,3,0,0,1.0,0.8333333333333334
7,1,2018-02-19,2,3,0,0,0.6666666666666666,0.6666666666666666
2,1,2018-02-26,0,1,0,0,1.0,1.0
2,1,2018-03-05,0,1,0,0,1.0,1.0
0,0,2018-03-12,0,0,0,0,0.0,0.0
9,9,2018-03-19,0,2,0,0,1.0,1.0
4,4,2018-03-26,0,1,0,0,1.0,1.0
0,0,2018-04-02,0,0,0,0,0.0,0.0
2,0,2018-04-09,0,1,0,0,1.0,1.0
0,0,2018-04-16,0,0,0,0,0.0,0.0
0,0,2018-04-23,0,0,0,0,0.0,0.0
0,0,2018-04-30,0,0,0,0,0.0,0.0
0,0,2018-05-07,0,0,0,0,0.0,0.0
3,0,2018-05-14,0,1,0,0,1.0,1.0
6,3,2018-05-21,0,2,0,2,1.0,1.0
0,0,2018-05-28,0,0,0,0,0.0,0.0
12,25,2018-06-04,0,2,0,0,1.0,1.0
19,12,2018-06-11,0,5,0,0,1.0,1.0
7,2,2018-06-18,0,3,0,0,1.0,1.0
0,0,2018-06-25,0,0,0,0,0.0,0.0
4,1,2018-07-02,0,1,0,0,1.0,0.6699999999999999
0,0,2018-07-09,0,0,0,0,0.0,0.0
0,0,2018-07-16,0,0,0,0,0.0,0.0
14,9,2018-07-23,1,4,0,0,0.95,1.0
0,0,2018-07-30,0,0,0,0,0.0,0.0
0,0,2018-08-06,0,0,0,0,0.0,0.0
3,0,2018-08-13,1,1,0,0,1.0,0.0
6,5,2018-08-20,0,1,1,0,0.6699999999999999,0.6699999999999999
0,0,2018-08-27,0,0,0,0,0.0,0.0
0,0,2018-09-03,0,0,0,0,0.0,0.0
7,4,2018-09-10,1,1,1,0,0.8,0.5
0,0,2018-09-17,0,0,0,0,0.0,0.0
0,0,2018-09-24,0,0,0,0,0.0,0.0
0,0,2018-10-01,0,0,0,0,0.0,0.0
0,0,2018-10-08,0,0,0,0,0.0,0.0
17,37,2018-10-15,1,2,0,1,1.0,0.9
3,1,2018-10-22,0,1,0,0,1.0,1.0
0,0,2018-10-29,0,0,0,0,0.0,0.0
20,8,2018-11-05,1,6,0,1,0.8333333333333334,1.0
0,0,2018-11-12,0,0,0,0,0.0,0.0
5,2,2018-11-19,1,1,0,0,0.6699999999999999,1.0
0,0,2018-11-26,0,0,0,0,0.0,0.0
5,3,2018-12-03,0,1,0,0,1.0,1.0
0,0,2018-12-10,0,0,0,0,0.0,0.0
0,0,2018-12-17,0,0,0,0,0.0,0.0
0,0,2018-12-24,0,0,0,0,0.0,0.0
0,0,2018-12-31,0,0,0,0,0.0,0.0
4,2,2019-01-07,0,1,0,0,1.0,1.0
0,0,2019-01-14,0,0,0,0,0.0,0.0
9,3,2019-01-21,1,2,1,0,0.835,0.835
7,1,2019-01-28,1,3,0,0,0.3333333333333333,0.8333333333333334
13,4,2019-02-04,1,2,1,0,0.5,0.94
0,0,2019-02-11,0,0,0,0,0.0,0.0
18,6,2019-02-18,1,5,0,0,0.8,1.0
0,0,2019-02-25,0,0,0,0,0.0,0.0
0,0,2019-03-04,0,0,0,0,0.0,0.0
0,0,2019-03-11,0,0,0,0,0.0,0.0
3,2,2019-03-18,0,1,0,0,1.0,1.0
