cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
2,0,2017-07-03,0,1,0,0,1.0,1.0
2,0,2017-07-10,1,1,0,0,0.0,1.0
0,0,2017-07-17,0,0,0,0,0.0,0.0
5,0,2017-07-24,0,1,0,0,1.0,1.0
5,1,2017-07-31,1,1,0,1,0.75,1.0
5,0,2017-08-07,0,1,0,0,1.0,1.0
5,0,2017-08-14,0,1,0,0,1.0,1.0
0,0,2017-08-21,0,0,0,0,0.0,0.0
2,0,2017-08-28,0,1,0,0,1.0,1.0
2,0,2017-09-04,0,1,0,0,1.0,1.0
5,1,2017-09-11,0,2,0,1,1.0,1.0
0,0,2017-09-18,0,0,0,0,0.0,0.0
5,0,2017-09-25,0,2,0,0,1.0,1.0
0,0,2017-10-02,0,0,0,0,0.0,0.0
0,0,2017-10-09,0,0,0,0,0.0,0.0
10,1,2017-10-16,1,2,0,1,0.835,1.0
12,1,2017-10-23,0,2,0,1,1.0,1.0
18,1,2017-10-30,0,4,0,1,1.0,1.0
0,0,2017-11-06,0,0,0,0,0.0,0.0
0,0,2017-11-13,0,0,0,0,0.0,0.0
0,0,2017-11-20,0,0,0,0,0.0,0.0
0,0,2017-11-27,0,0,0,0,0.0,0.0
0,0,2017-12-04,0,0,0,0,0.0,0.0
4,0,2017-12-11,0,2,0,0,1.0,1.0
0,0,2017-12-18,0,0,0,0,0.0,0.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
2,0,2018-01-01,0,1,0,0,1.0,1.0
4,0,2018-01-08,0,2,0,0,1.0,1.0
3,0,2018-01-15,0,1,0,0,1.0,1.0
0,0,2018-01-22,0,0,0,0,0.0,0.0
4,0,2018-01-29,0,2,0,0,1.0,1.0
9,0,2018-02-05,0,4,0,0,1.0,1.0
0,0,2018-02-12,0,0,0,0,0.0,0.0
0,0,2018-02-19,0,0,0,0,0.0,0.0
0,0,2018-02-26,0,0,0,0,0.0,0.0
0,0,2018-03-05,0,0,0,0,0.0,0.0
0,0,2018-03-12,0,0,0,0,0.0,0.0
0,0,2018-03-19,0,0,0,0,0.0,0.0
0,0,2018-03-26,0,0,0,0,0.0,0.0
0,0,2018-04-02,0,0,0,0,0.0,0.0
0,0,2018-04-09,0,0,0,0,0.0,0.0
0,0,2018-04-16,0,0,0,0,0.0,0.0
0,0,2018-04-23,0,0,0,0,0.0,0.0
0,0,2018-04-30,0,0,0,0,0.0,0.0
0,0,2018-05-07,0,0,0,0,0.0,0.0
0,0,2018-05-14,0,0,0,0,0.0,0.0
0,0,2018-05-21,0,0,0,0,0.0,0.0
0,0,2018-05-28,0,0,0,0,0.0,0.0
4,1,2018-06-04,1,1,0,1,0.6699999999999999,1.0
0,0,2018-06-11,0,0,0,0,0.0,0.0
0,0,2018-06-18,0,0,0,0,0.0,0.0
0,0,2018-06-25,0,0,0,0,0.0,0.0
4,0,2018-07-02,0,2,0,0,1.0,1.0
4,0,2018-07-09,1,2,0,0,0.5,1.0
6,0,2018-07-16,0,2,0,0,1.0,1.0
14,1,2018-07-23,2,3,0,1,0.7666666666666666,1.0
8,0,2018-07-30,0,3,0,0,1.0,1.0
2,0,2018-08-06,0,1,0,0,1.0,1.0
2,0,2018-08-13,0,1,0,0,1.0,1.0
0,0,2018-08-20,0,0,0,0,0.0,0.0
2,0,2018-08-27,0,1,0,0,1.0,1.0
17,0,2018-09-03,1,7,0,0,0.8571428571428571,1.0
2,0,2018-09-10,0,1,0,0,1.0,1.0
4,0,2018-09-17,0,2,0,0,1.0,1.0
10,1,2018-09-24,0,4,0,1,1.0,1.0
20,1,2018-10-01,1,7,0,1,0.9285714285714286,1.0
28,0,2018-10-08,2,9,0,0,0.9166666666666666,1.0
33,2,2018-10-15,0,12,0,2,1.0,1.0
28,0,2018-10-22,0,8,0,0,1.0,1.0
22,1,2018-10-29,0,10,0,1,1.0,1.0
37,3,2018-11-05,3,10,0,3,0.8800000000000001,1.0
42,3,2018-11-12,3,12,0,3,0.9691666666666666,1.0
9,0,2018-11-19,0,4,0,0,1.0,1.0
27,0,2018-11-26,1,9,0,0,0.9444444444444444,1.0
11,1,2018-12-03,0,3,0,1,1.0,1.0
13,1,2018-12-10,0,5,0,1,1.0,1.0
2,0,2018-12-17,0,1,0,0,1.0,1.0
2,0,2018-12-24,0,1,0,0,1.0,1.0
0,0,2018-12-31,0,0,0,0,0.0,0.0
8,0,2019-01-07,0,1,0,0,1.0,1.0
0,0,2019-01-14,0,0,0,0,0.0,0.0
2,0,2019-01-21,0,1,0,0,1.0,1.0
2,0,2019-01-28,0,1,0,0,1.0,1.0
0,0,2019-02-04,0,0,0,0,0.0,0.0
0,0,2019-02-11,0,0,0,0,0.0,0.0
0,0,2019-02-18,0,0,0,0,0.0,0.0
0,0,2019-02-25,0,0,0,0,0.0,0.0
0,0,2019-03-04,0,0,0,0,0.0,0.0
0,0,2019-03-11,0,0,0,0,0.0,0.0
10,0,2019-03-18,2,2,0,0,0.835,1.0
3,1,2019-03-25,1,1,0,1,0.5,1.0
