cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
5,2,2016-11-07,0,2,0,0,1.0,1.0
6,6,2016-11-14,0,1,0,0,1.0,1.0
2,1,2016-11-21,0,1,0,1,1.0,1.0
12,3,2016-11-28,0,5,0,1,1.0,1.0
3,1,2016-12-05,0,1,0,1,1.0,1.0
6,2,2016-12-12,0,3,0,2,1.0,1.0
9,7,2016-12-19,0,2,0,0,1.0,0.875
8,12,2016-12-26,0,1,0,0,1.0,1.0
11,5,2017-01-02,0,3,0,2,1.0,1.0
0,0,2017-01-09,0,0,0,0,0.0,0.0
5,1,2017-01-16,0,2,0,0,1.0,1.0
8,0,2017-01-23,1,2,0,0,0.5,0.835
10,7,2017-01-30,0,2,0,1,0.5,1.0
6,4,2017-02-06,0,2,0,0,1.0,1.0
0,0,2017-02-13,0,0,0,0,0.0,0.0
0,0,2017-02-20,0,0,0,0,0.0,0.0
2,0,2017-02-27,0,1,0,0,1.0,1.0
0,0,2017-03-06,0,0,0,0,0.0,0.0
11,6,2017-03-13,0,2,0,0,1.0,1.0
3,0,2017-03-20,1,1,0,0,0.5,1.0
5,2,2017-03-27,0,2,0,0,1.0,1.0
0,0,2017-04-03,0,0,0,0,0.0,0.0
2,1,2017-04-10,0,1,0,0,1.0,1.0
0,0,2017-04-17,0,0,0,0,0.0,0.0
0,0,2017-04-24,0,0,0,0,0.0,0.0
0,0,2017-05-01,0,0,0,0,0.0,0.0
0,0,2017-05-08,0,0,0,0,0.0,0.0
0,0,2017-05-15,0,0,0,0,0.0,0.0
0,0,2017-05-22,0,0,0,0,0.0,0.0
0,0,2017-05-29,0,0,0,0,0.0,0.0
0,0,2017-06-05,0,0,0,0,0.0,0.0
0,0,2017-06-12,0,0,0,0,0.0,0.0
0,0,2017-06-19,0,0,0,0,0.0,0.0
0,0,2017-06-26,0,0,0,0,0.0,0.0
0,0,2017-07-03,0,0,0,0,0.0,0.0
0,0,2017-07-10,0,0,0,0,0.0,0.0
7,5,2017-07-17,0,2,0,0,1.0,1.0
0,0,2017-07-24,0,0,0,0,0.0,0.0
4,4,2017-07-31,0,1,0,0,1.0,1.0
0,0,2017-08-07,0,0,0,0,0.0,0.0
0,0,2017-08-14,0,0,0,0,0.0,0.0
0,0,2017-08-21,0,0,0,0,0.0,0.0
2,0,2017-08-28,0,1,0,0,1.0,1.0
0,0,2017-09-04,0,0,0,0,0.0,0.0
0,0,2017-09-11,0,0,0,0,0.0,0.0
0,0,2017-09-18,0,0,0,0,0.0,0.0
2,1,2017-09-25,0,1,0,0,1.0,1.0
2,1,2017-10-02,0,1,0,0,1.0,1.0
3,1,2017-10-09,0,1,0,0,1.0,0.5
0,0,2017-10-16,0,0,0,0,0.0,0.0
2,1,2017-10-23,0,1,0,0,1.0,1.0
8,4,2017-10-30,0,2,0,0,1.0,1.0
8,4,2017-11-06,0,2,0,0,1.0,1.0
13,1,2017-11-13,0,6,0,0,1.0,1.0
4,2,2017-11-20,0,2,0,0,1.0,1.0
2,1,2017-11-27,0,1,0,0,1.0,1.0
11,7,2017-12-04,0,3,0,0,1.0,1.0
9,2,2017-12-11,0,4,0,0,1.0,1.0
6,6,2017-12-18,0,1,0,0,1.0,1.0
0,0,2017-12-25,0,0,0,0,0.0,0.0
11,1,2018-01-01,1,4,0,1,1.0,0.9175
11,3,2018-01-08,0,4,0,0,0.75,1.0
15,31,2018-01-15,0,2,0,0,1.0,1.0
6,8,2018-01-22,0,1,0,0,1.0,1.0
4,2,2018-01-29,0,1,0,0,1.0,0.6699999999999999
4,0,2018-02-05,0,2,0,0,0.5,1.0
2,0,2018-02-12,0,1,0,0,1.0,1.0
5,3,2018-02-19,0,2,0,0,1.0,1.0
16,4,2018-02-26,0,4,0,0,1.0,0.75
5,1,2018-03-05,0,2,0,0,0.5,1.0
0,0,2018-03-12,0,0,0,0,0.0,0.0
6,5,2018-03-19,0,1,0,0,1.0,1.0
11,7,2018-03-26,0,4,0,0,1.0,1.0
10,6,2018-04-02,1,2,0,2,1.0,0.9
2,1,2018-04-09,0,1,0,0,1.0,1.0
0,0,2018-04-16,0,0,0,0,0.0,0.0
3,2,2018-04-23,0,1,0,0,1.0,1.0
3,2,2018-04-30,0,1,0,0,1.0,1.0
2,1,2018-05-07,0,1,0,1,1.0,1.0
5,2,2018-05-14,0,2,0,0,1.0,1.0
4,2,2018-05-21,0,2,0,0,1.0,1.0
2,1,2018-05-28,0,1,0,1,1.0,1.0
4,1,2018-06-04,0,2,0,0,1.0,1.0
