cmt_cnt,consist_cnt,date,inconsist_cnt,issue_cnt,neg_consist_cnt,pos_consist_cnt,score1,score2
6,2,2011-10-31,0,2,0,0,1.0,0.5
2,1,2011-11-07,0,1,0,0,1.0,1.0
0,0,2011-11-14,0,0,0,0,0.0,0.0
0,0,2011-11-21,0,0,0,0,0.0,0.0
0,0,2011-11-28,0,0,0,0,0.0,0.0
0,0,2011-12-05,0,0,0,0,0.0,0.0
0,0,2011-12-12,0,0,0,0,0.0,0.0
0,0,2011-12-19,0,0,0,0,0.0,0.0
0,0,2011-12-26,0,0,0,0,0.0,0.0
0,0,2012-01-02,0,0,0,0,0.0,0.0
0,0,2012-01-09,0,0,0,0,0.0,0.0
0,0,2012-01-16,0,0,0,0,0.0,0.0
0,0,2012-01-23,0,0,0,0,0.0,0.0
0,0,2012-01-30,0,0,0,0,0.0,0.0
0,0,2012-02-06,0,0,0,0,0.0,0.0
6,3,2012-02-13,0,2,0,1,1.0,1.0
0,0,2012-02-20,0,0,0,0,0.0,0.0
0,0,2012-02-27,0,0,0,0,0.0,0.0
0,0,2012-03-05,0,0,0,0,0.0,0.0
4,4,2012-03-12,0,1,0,0,1.0,1.0
4,2,2012-03-19,0,1,0,0,0.5,1.0
0,0,2012-03-26,0,0,0,0,0.0,0.0
2,0,2012-04-02,0,1,0,0,1.0,1.0
0,0,2012-04-09,0,0,0,0,0.0,0.0
6,3,2012-04-16,0,2,0,0,1.0,1.0
9,4,2012-04-23,0,4,0,0,1.0,1.0
4,1,2012-04-30,0,2,0,0,1.0,0.5
15,6,2012-05-07,0,6,0,3,1.0,1.0
7,4,2012-05-14,0,2,0,0,1.0,0.5
29,17,2012-05-21,2,6,0,0,1.0,0.925
0,0,2012-05-28,0,0,0,0,0.0,0.0
2,1,2012-06-04,0,1,0,0,1.0,1.0
0,0,2012-06-11,0,0,0,0,0.0,0.0
11,10,2012-06-18,0,2,0,2,1.0,1.0
3,1,2012-06-25,0,1,0,0,1.0,1.0
25,12,2012-07-02,0,8,0,0,1.0,0.875
14,7,2012-07-09,0,5,0,0,1.0,1.0
2,1,2012-07-16,0,1,0,0,1.0,1.0
0,0,2012-07-23,0,0,0,0,0.0,0.0
2,1,2012-07-30,0,1,0,0,1.0,1.0
2,1,2012-08-06,0,1,0,0,1.0,1.0
2,0,2012-08-13,0,1,0,0,1.0,1.0
0,0,2012-08-20,0,0,0,0,0.0,0.0
4,2,2012-08-27,0,2,0,0,1.0,1.0
16,8,2012-09-03,0,5,0,0,1.0,0.8
2,0,2012-09-10,0,1,0,0,1.0,1.0
18,9,2012-09-17,0,6,0,0,1.0,0.5
19,14,2012-09-24,0,6,0,0,1.0,1.0
0,0,2012-10-01,0,0,0,0,0.0,0.0
2,0,2012-10-08,0,1,0,0,0.0,1.0
2,1,2012-10-15,0,1,0,0,1.0,1.0
17,9,2012-10-22,1,6,0,0,0.8333333333333334,0.8333333333333334
12,7,2012-10-29,0,4,0,0,0.875,1.0
22,12,2012-11-05,0,7,0,2,1.0,1.0
21,12,2012-11-12,0,8,0,0,0.875,1.0
59,47,2012-11-19,1,15,0,1,0.9,0.9833333333333332
32,19,2012-11-26,0,11,0,0,1.0,1.0
43,57,2012-12-03,0,10,0,0,0.991,0.96
2,0,2012-12-10,0,1,0,0,1.0,1.0
8,6,2012-12-17,0,2,0,0,1.0,1.0
0,0,2012-12-24,0,0,0,0,0.0,0.0
4,1,2012-12-31,0,2,0,0,1.0,1.0
0,0,2013-01-07,0,0,0,0,0.0,0.0
12,4,2013-01-14,0,5,0,0,1.0,0.8
4,1,2013-01-21,0,1,0,0,0.33,1.0
0,0,2013-01-28,0,0,0,0,0.0,0.0
8,3,2013-02-04,0,4,0,0,1.0,1.0
0,0,2013-02-11,0,0,0,0,0.0,0.0
0,0,2013-02-18,0,0,0,0,0.0,0.0
0,0,2013-02-25,0,0,0,0,0.0,0.0
4,4,2013-03-04,0,1,0,0,1.0,1.0
0,0,2013-03-11,0,0,0,0,0.0,0.0
2,1,2013-03-18,0,1,0,0,1.0,1.0
3,2,2013-03-25,0,1,0,0,1.0,1.0
6,3,2013-04-01,0,3,0,0,1.0,1.0
7,2,2013-04-08,0,3,0,0,1.0,1.0
0,0,2013-04-15,0,0,0,0,0.0,0.0
0,0,2013-04-22,0,0,0,0,0.0,0.0
2,1,2013-04-29,0,1,0,1,1.0,1.0
